matrix,serial,parallel 1 thread,parallel 4 threads,parallel 8 threads,parallel 16 threads,parallel 32 threads
sprand_sdd!/1e6,0.044763668,4.161553664,3.409383331,3.31276722,3.070097644,3.087283435
sprand_sdd!/1e7,0.526030934,49.684605143,40.334326814,37.43086358,36.976516542,35.093872015
Bourchtein/atmosmodd,0.032389173,4.23055327,3.437823131,3.069910642,3.058785724,2.9687957
Sandia/ASIC_680ks,0.0149257,1.398795832,1.220579406,1.110103176,1.137804324,1.097342126
Freescale/circuit5M_dc,0.113570127,8.955461846,7.219578019,6.988874155,6.847690345,6.586196697
Janna/CoupCons3D,0.189466525,34.86387848,32.52699659,31.304310997,30.098269099,30.084215803
Fluorem/RM07R,0.589916533,234.107465216,219.457168434,213.477402754,208.395681869,201.535687744
Martin/marine1,0.035672115,4.482894212,3.997889188,3.747419274,3.63805701,3.647529655
CEMW/tmt_unsym,0.016642856,1.878684711,1.547236654,1.428166619,1.457150806,1.470903798
VLSI/vas_stokes_1M,0.379930294,272.021180307,252.592919563,246.013227039,244.017926948,242.508905148
